tile_id,avg_ndvi,avg_height,min_height,max_height,avg_species,avg_density,avg_biomass
0_0,0.56687504,6.5456944,0.0,11.391875,deciduous,dense,2681.1163330078125
0_1,0.8940823,8.030814,0.0,12.543334,deciduous,dense,3289.42138671875
0_2,0.8954806,5.260747,0.0,10.065193,deciduous,dense,2154.8019409179688
0_3,0.88188386,2.8952,0.0,5.8342032,deciduous,dense,1185.8739471435547
0_4,0.8765475,2.983469,0.0,4.6795053,deciduous,dense,1222.0288848876953
0_5,0.8680897,4.445661,0.0,6.1204996,deciduous,dense,1820.942840576172
0_6,0.8583348,3.3202248,0.0,5.9634957,deciduous,dense,1359.9639892578125
0_7,0.8717002,3.981218,0.0,6.8565464,deciduous,dense,1630.7069396972656
0_8,0.869545,2.7150247,0.0,4.7169447,mixed,dense,1112.0741271972656
0_9,0.86573887,3.4475706,0.0,5.6253157,mixed,dense,1412.1249389648438
0_10,0.85374296,3.5967355,0.0,6.8117394,mixed,dense,1473.2228088378906
0_11,0.84975374,3.6943617,0.0,5.3634753,coniferous,dense,1513.2106018066406
0_12,0.83821666,5.0196247,0.0,8.049333,mixed,dense,2056.0382080078125
0_13,0.82982755,4.126183,0.0,6.422659,mixed,dense,1690.0845336914062
0_14,0.83297753,3.5661266,0.0,7.135491,deciduous,dense,1460.6854248046875
0_15,0.8282466,4.8185825,0.0,10.213337,deciduous,dense,1973.69140625
0_16,0.82008857,5.0074134,0.0,9.701559,deciduous,dense,2051.036529541016
0_17,0.8081007,4.4063187,0.0,11.034468,deciduous,dense,1804.828186035156
0_18,0.80627096,3.87712,0.0,7.6085877,mixed,dense,1588.068389892578
0_19,0.8009151,4.9279175,0.0,7.774376,mixed,dense,2018.4750366210935
0_20,0.78839016,4.119849,0.0,7.32933,mixed,dense,1687.490234375
0_21,0.80573213,3.575833,0.0,6.178357,mixed,dense,1464.6612548828125
0_22,0.7966571,4.3576303,0.0,6.3163843,mixed,dense,1784.8854064941406
0_23,0.8038976,3.8666358,0.0,5.749289,mixed,dense,1583.773956298828
0_24,0.7885614,4.384094,0.0,6.768464,mixed,dense,1795.7249450683594
0_25,0.7822845,3.3603706,0.0,5.7452006,coniferous,dense,1376.4077758789062
0_26,0.77708286,4.530403,0.0,8.41377,coniferous,dense,1855.653076171875
0_27,0.7642909,3.7084746,0.0,8.015747,coniferous,dense,1518.991241455078
0_28,0.7897354,1.8376578,0.0,5.6885543,coniferous,dense,752.7046203613281
0_29,0.77735144,3.5667682,0.0,6.6252456,coniferous,dense,1460.9481811523438
0_30,0.76794755,4.285982,0.0,7.471494,coniferous,dense,1755.538330078125
0_31,0.74322116,3.05583,0.0,7.455298,mixed,dense,1251.667938232422
0_32,0.73891616,4.4824114,0.0,6.6623416,mixed,dense,1835.995635986328
0_33,0.7306238,4.6997285,0.0,6.2185407,mixed,dense,1925.008850097656
0_34,0.7208643,3.2693112,0.0,5.842004,mixed,dense,1339.1098022460938
0_35,0.7577509,5.4607635,0.0,8.678132,coniferous,dense,2236.7286682128906
0_36,0.74950224,4.226334,0.0,7.429831,coniferous,dense,1731.106414794922
