tile_id,avg_ndvi,avg_height,min_height,max_height,avg_species,avg_density,avg_biomass
0_0,0.68014085,8.17523,0.0,12.727001,deciduous,dense,8175.230026245117
0_1,0.8944584,4.759812,0.0,10.108776,deciduous,dense,4759.811982512474
0_2,0.88702285,2.5690906,0.0,6.803606,deciduous,dense,2569.090574979782
0_3,0.87704456,4.775129,0.0,10.274093,deciduous,dense,4775.12888610363
0_4,0.87371814,4.2848587,0.0,10.185003,deciduous,dense,4284.858703613281
0_5,0.87962395,3.7631378,0.0,7.367045,deciduous,dense,3763.137757778168
0_6,0.87343407,3.079469,0.0,6.8117394,mixed,dense,3079.4689431786537
0_7,0.8667291,4.193485,0.0,7.85807,mixed,dense,4193.484783172607
0_8,0.85626525,4.3441596,0.0,8.049333,mixed,dense,4344.159737229347
0_9,0.8567125,4.8148117,0.0,9.420342,deciduous,dense,4814.811795949936
0_10,0.8491421,6.2079415,0.0,10.213337,deciduous,dense,6207.941472530365
0_11,0.8429333,5.0480347,0.0,11.186028,deciduous,dense,5048.034712672234
0_12,0.83824307,5.4966874,0.0,8.236226,mixed,dense,5496.687442064285
0_13,0.8347486,4.5752916,0.0,8.031772,mixed,dense,4575.291648507118
0_14,0.83860916,4.3449416,0.0,6.3163843,mixed,dense,4344.941675662994
0_15,0.8346908,4.537514,0.0,6.768464,mixed,dense,4537.514224648476
0_16,0.82491183,2.920475,0.0,6.447004,mixed,dense,2920.4750433564186
0_17,0.8187765,3.335918,0.0,8.41377,coniferous,dense,3335.918113589287
0_18,0.8289621,2.8023312,0.0,7.0786614,coniferous,dense,2802.331186830997
0_19,0.813691,4.08023,0.0,7.471494,mixed,dense,4080.2303701639175
0_20,0.7978117,3.687645,0.0,6.6623416,mixed,dense,3687.645122408867
0_21,0.788147,4.4030795,0.0,6.481662,mixed,dense,4403.079673647881
0_22,0.80146915,5.2831697,0.0,8.858115,coniferous,dense,5283.169820904732
0_23,0.80903906,5.0191174,0.0,8.354471,coniferous,dense,5019.117519259453
0_24,0.8062703,4.6908283,0.0,8.454695,coniferous,dense,4690.828174352646
0_25,0.7989981,4.361747,0.0,6.0154223,coniferous,dense,4361.746832728386
0_26,0.7886249,4.590509,0.0,8.752672,coniferous,dense,4590.509086847305
0_27,0.79610735,6.7449436,0.0,9.367421,coniferous,dense,6744.943559169769
