tile_id,avg_ndvi,avg_height,min_height,max_height,avg_species,avg_density,avg_biomass
0_0,0.48466894,5.760633,0.0,9.527966,deciduous,dense,1440.1582069694996
0_1,0.89341515,8.056601,0.0,12.146931,deciduous,dense,2014.1500979661944
0_2,0.89495325,6.8499064,0.0,10.108776,deciduous,dense,1712.4766483902931
0_3,0.8920743,4.7172203,0.0,8.931553,deciduous,dense,1179.3050915002823
0_4,0.8781376,2.9170716,0.0,5.4025908,deciduous,dense,729.267904534936
0_5,0.87640625,2.811933,0.0,4.454026,deciduous,dense,702.9832806438208
0_6,0.86109257,3.7863164,0.0,5.5926957,deciduous,dense,946.5791285037994
0_7,0.85903984,4.2817664,0.0,6.1204996,deciduous,dense,1070.441585034132
0_8,0.84412247,3.0344715,0.0,5.564606,deciduous,dense,758.6178835481405
0_9,0.8624408,4.1619015,0.0,6.8565464,deciduous,dense,1040.4753498733044
0_10,0.8658886,2.0813684,0.0,3.6087794,mixed,dense,520.3421227633953
0_11,0.8589155,3.0512493,0.0,4.60317,mixed,dense,762.812327593565
0_12,0.8516292,3.637125,0.0,6.586092,mixed,dense,909.2812426388264
0_13,0.83960056,3.6742332,0.0,6.8117394,coniferous,dense,918.558333069086
0_14,0.83841133,3.3576624,0.0,4.874152,coniferous,dense,839.4155651330948
0_15,0.82211095,4.3798604,0.0,7.85807,coniferous,dense,1094.965077936649
0_16,0.81626886,4.8114104,0.0,8.049333,mixed,dense,1202.85265147686
0_17,0.80405545,4.1035614,0.0,6.422659,mixed,dense,1025.890372693539
0_18,0.81359714,3.4064102,0.0,5.1439404,deciduous,dense,851.6025729477406
0_19,0.8116486,3.1665,0.0,8.449762,deciduous,dense,791.6250266134739
0_20,0.7998666,4.5476665,0.0,9.433494,deciduous,dense,1136.916596442461
0_21,0.7936195,3.853397,0.0,7.26174,mixed,dense,963.3492678403854
0_22,0.78163177,3.4805644,0.0,9.271833,deciduous,dense,870.1411075890064
0_23,0.7817727,3.320608,0.0,7.4277077,mixed,dense,830.151978880167
0_24,0.7696465,4.545407,0.0,7.6085877,mixed,dense,1136.3517493009567
0_25,0.7730534,4.612664,0.0,7.7642407,mixed,dense,1153.1660333275795
0_26,0.74979424,3.0948234,0.0,5.999764,mixed,dense,773.7058214843273
0_27,0.78261507,3.1391702,0.0,5.2257237,mixed,dense,784.7925648093224
0_28,0.7685265,3.9376132,0.0,6.285206,mixed,dense,984.4033047556876
0_29,0.7737971,4.2178273,0.0,6.3163843,mixed,dense,1054.4568300247192
0_30,0.7690252,3.6578968,0.0,6.000424,mixed,dense,914.4742041826248
0_31,0.7535618,3.994126,0.0,6.6217184,mixed,dense,998.531561344862
0_32,0.7477069,3.203216,0.0,5.4796076,coniferous,dense,800.8040487766266
0_33,0.738919,3.989636,0.0,6.447004,coniferous,dense,997.4089451134204
