tile_id,avg_ndvi,avg_height,min_height,max_height,avg_species,avg_density,avg_biomass
0_0,0.0,0.0017615902,0.0,0.5375482,deciduous,sparse,5000.0
0_1,0.0,0.27850142,0.0,4.6593733,deciduous,sparse,5000.0
0_2,0.0,0.06261379,0.0,1.609891,deciduous,sparse,5000.0
0_3,0.0,0.12418777,0.0,2.4203463,deciduous,sparse,5000.0
0_4,0.0,0.1566215,0.0,2.6451404,deciduous,sparse,5000.0
0_5,0.0,4.1425433,0.0,13.564758,deciduous,sparse,5000.0
0_6,0.0,3.9017117,0.0,12.768603,deciduous,sparse,5000.0
0_7,0.0,0.2734045,0.0,4.041991,deciduous,sparse,5000.0
0_8,0.0,0.01872069,0.0,1.6968399,deciduous,sparse,5000.0
0_9,0.0,0.23083648,0.0,2.0874674,deciduous,sparse,5000.0
0_10,0.0,1.0492339,0.0,3.0538614,deciduous,sparse,5000.0
0_11,0.0,0.19979654,0.0,3.4890442,deciduous,sparse,5000.0
0_12,0.0,0.02496594,0.0,2.2091084,deciduous,sparse,5000.0
0_13,0.0,0.75682694,0.0,5.8481865,deciduous,sparse,5000.0
0_14,0.00097462046,3.3122497,0.0,13.424181,deciduous,sparse,5000.0
0_15,0.003052337,11.1263485,1.8805263,16.254261,deciduous,sparse,5000.0
0_16,0.0048123216,14.408945,10.451255,17.813343,deciduous,sparse,5000.0
0_17,0.0058779125,17.84307,11.962509,22.165956,deciduous,sparse,5000.0
0_18,0.008862917,24.374748,19.841276,30.476307,deciduous,sparse,5000.0
0_19,0.011456387,24.52981,20.822361,29.486267,deciduous,sparse,5000.0
0_20,0.015318854,23.535755,20.708729,26.26529,deciduous,sparse,5000.0
0_21,0.018969,23.668968,20.484694,26.480162,deciduous,sparse,5000.0
0_22,0.023016393,22.575747,17.806232,26.644682,deciduous,sparse,5000.0
0_23,0.031983532,19.919287,16.391256,22.190985,deciduous,sparse,5000.0
0_24,0.039831385,19.280066,16.65334,23.5784,deciduous,sparse,5000.0
0_25,0.047197033,21.04031,14.909159,23.804007,deciduous,sparse,5000.0
0_26,0.049351458,20.37191,13.051205,25.808865,deciduous,sparse,5000.0
0_27,0.04272378,18.143251,11.877128,27.204725,deciduous,sparse,5000.0
0_28,0.044392347,18.147367,9.376251,25.236715,deciduous,sparse,5000.0
0_29,0.057772346,9.9042,0.0,20.385986,deciduous,urban,200.0
0_30,0.083429806,13.260265,0.0,27.3681,mixed,urban,200.0
0_31,0.102644034,25.368162,14.60765,30.41484,mixed,dense,25000.0
0_32,0.09702463,16.34543,10.426697,21.969933,mixed,dense,25000.0
